,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Windspeed,Country
85,butaritari,3.07,172.79,82.76000000000008,77.0,1.0,5.75,KI
86,tabuk,17.42,121.44,85.73000000000005,67.0,14.0,2.33,PH
87,bredasdorp,-34.53,20.04,51.8,93.0,0.0,2.6,ZA
88,mehamn,71.04,27.85,56.55200000000008,87.0,4.0,2.44,NO
89,tasiilaq,65.61,-37.64,37.4,93.0,99.0,2.6,GL
90,ukiah,39.15,-123.21,91.4,22.0,1.0,3.06,US
91,itarema,-2.92,-39.92,77.46800000000009,83.0,100.0,5.22,BR
92,andenes,69.31,16.12,50.0,93.0,100.0,5.1,NO
93,katsuura,35.13,140.3,80.99600000000005,79.0,100.0,2.07,JP
94,barkhan,29.9,69.53,83.21000000000008,55.0,0.0,1.34,PK
95,saskylakh,71.92,114.08,61.538000000000046,76.0,91.0,3.9,RU
96,bambous virieux,-20.34,57.76,68.0,60.0,40.0,5.7,MU
97,kaohsiung,22.62,120.31,91.4,63.0,75.0,1.5,TW
98,barrow,71.29,-156.79,39.2,93.0,90.0,4.6,US
99,bezhta,42.13,46.13,52.64600000000005,83.0,100.0,0.51,RU
100,tazovskiy,67.47,78.7,49.94600000000005,66.0,39.0,7.59,RU
101,manta,-0.95,-80.73,73.4,83.0,40.0,5.1,EC
102,salalah,17.02,54.09,78.8,94.0,75.0,3.6,OM
103,doka,13.52,35.77,70.44800000000002,84.0,72.0,5.93,SD
104,hermanus,-34.42,19.23,53.99600000000005,79.0,0.0,1.34,ZA
105,tura,25.52,90.22,75.93800000000005,96.0,98.0,2.27,IN
106,muros,42.78,-9.06,60.008,85.0,2.0,2.94,ES
107,terney,45.05,136.61,61.97000000000006,90.0,100.0,2.06,RU
108,gravdal,68.12,13.5,51.81800000000008,89.0,100.0,8.68,NO
109,carnarvon,-24.87,113.63,64.4,55.0,0.0,6.7,AU
110,arraial do cabo,-22.97,-42.03,69.8,83.0,5.0,4.1,BR
111,bordighera,43.78,7.66,73.4,78.0,99.0,1.5,IT
112,guilin,25.28,110.29,86.0,70.0,98.0,2.0,CN
113,nokha,27.6,73.42,86.45,65.0,6.0,3.87,IN
